Activity Type,Year,Month,Date,Hour,Week Day,Distance,Calories,Time,Time in minutes,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022,June,28/06/2022,20:05,Tuesday,2.5,170,00:12:43,12.72,147,182,3.2,160,175,05:06,04:15,95,97,1.22,,0,0,0,,02:19.57.4,3,00:12:43,00:12:43,309,360
Strength Training,2022,June,26/06/2022,21:02,Sunday,0,48,00:08:27,8.45,110,124,0.4,0,0,,,,,0,,0,0,35,6,08:27.37.2,1,03:13.5,08:27.4,,
Strength Training,2022,June,25/06/2022,21:42,Saturday,0,43,00:07:32,7.53,111,127,0.3,0,0,,,,,0,,0,0,51,7,07:32.35.9,1,03:09.4,07:32.4,,
Running,2022,June,25/06/2022,21:13,Saturday,3.25,217,00:18:47,18.78,149,176,3,160,190,05:47,03:32,51,46,1.08,,0,0,0,,01:10.40.5,4,00:18:45,00:18:47,353,375
Pool Swimming,2022,June,24/06/2022,17:23,Friday,0.5,82,00:12:05,12.08,127,144,1.5,0,0,02:13,01:41,,,0,266,46,24,0,,12:04.56.7,1,00:11:03,00:14:35,,
Pool Swimming,2022,June,20/06/2022,17:40,Monday,1.25,189,00:24:56,24.93,135,159,2.3,0,0,02:05,01:25,,,0,444,42,21,0,,04:47.55.8,2,00:21:18,00:30:04,,
Strength Training,2022,June,20/06/2022,17:36,Monday,0,39,00:03:42,3.7,139,155,0.9,0,0,,,,,0,,0,0,13,1,03:41.49.8,1,03:33.7,03:41.5,,
Running,2022,June,18/06/2022,23:28,Saturday,0.02,17,00:02:25,2.42,116,125,0.3,6,91,,19:50,,,1.57,,0,0,0,,02:24.73.1,1,00:00:00,02:24.7,369,371
Strength Training,2022,June,18/06/2022,23:20,Saturday,0,32,00:05:19,5.32,111,127,0.3,0,0,,,,,0,,0,0,13,3,05:18.98.1,1,05:13.5,05:19.0,,
Running,2022,June,18/06/2022,22:54,Saturday,3.47,230,00:17:37,17.62,143,187,3.4,163,175,05:05,04:31,69,45,1.2,,0,0,0,,02:19.33.2,4,00:17:37,00:17:37,345,375
Strength Training,2022,June,17/06/2022,18:40,Friday,0,84,00:37:04,37.07,78,117,0.2,0,0,,,,,0,,0,0,82,10,37:03.94.8,1,06:25.4,00:37:04,,
Pool Swimming,2022,June,14/06/2022,19:31,Tuesday,1.25,185,00:20:47,20.78,118,146,1.1,0,0,02:02,01:04,,,0,461,42,22,0,,06:51.94.9,3,00:20:47,00:25:31,,
Strength Training,2022,June,13/06/2022,21:02,Monday,0,40,00:05:28,5.47,122,138,0.9,0,0,,,,,0,,0,0,38,5,05:28.20.8,1,02:04.4,05:28.2,,
Running,2022,June,11/06/2022,21:53,Saturday,3.01,206,00:18:42,18.7,149,167,2.7,162,239,06:13,04:40,39,59,1,,0,0,0,,00:03.11.8,4,00:18:38,00:18:42,356,389
Strength Training,2022,June,10/06/2022,16:54,Friday,0,8,00:03:46,3.77,78,103,0.1,0,0,,,,,0,,0,0,19,3,03:46.01.4,1,02:00.6,03:46.0,,
Pool Swimming,2022,June,06/06/2022,15:37,Monday,0.45,92,00:11:03,11.05,120,134,0.8,0,0,02:27,00:50,,,0,283,53,26,0,,11:03.34.8,1,00:11:03,00:12:30,,
Pool Swimming,2022,June,06/06/2022,14:41,Monday,0.375,84,00:08:31,8.52,106,127,0.3,0,0,02:16,01:39,,,0,205,48,24,0,,08:30.72.6,1,08:30.7,09:35.2,,
Strength Training,2022,June,03/06/2022,08:24,Friday,0,51,00:07:12,7.2,121,134,0.8,0,0,,,,,0,,0,0,40,6,07:11.98.5,1,02:50.8,07:12.0,,
Running,2022,June,03/06/2022,07:47,Friday,5.01,356,00:31:32,31.53,150,166,3.2,160,231,06:18,04:07,24,26,0.99,,0,0,0,,00:02.4,6,00:31:29,00:31:32,-5,11
Pool Swimming,2022,June,02/06/2022,17:32,Thursday,1.025,167,00:28:24,28.4,107,134,0.7,0,0,02:32,01:33,,,0,601,53,23,0,,28:23.88.4,1,00:25:57,00:28:59,,
Strength Training,2022,June,01/06/2022,20:47,Wednesday,0,59,00:07:50,7.83,121,135,0.7,0,0,,,,,0,,0,0,25,4,07:49.53.6,1,05:51.2,07:49.5,,
Running,2022,June,01/06/2022,20:23,Wednesday,3.23,220,00:17:13,17.22,148,178,3.3,160,170,05:19,04:26,49,45,1.17,,0,0,0,,01:10.77.7,4,00:17:13,00:17:13,355,376
Pool Swimming,2022,May,30/05/2022,06:32,Monday,0.65,108,00:19:17,19.28,112,139,0.8,0,0,02:17,01:30,,,0,370,48,25,0,,01:30.41.3,5,00:14:50,00:19:23,,
Pool Swimming,2022,May,27/05/2022,12:53,Friday,0.975,174,00:24:41,24.68,117,132,1,0,0,02:14,01:11,,,0,479,46,22,0,,24:40.52.6,1,00:21:45,00:26:51,,
Strength Training,2022,May,26/05/2022,19:49,Thursday,0,39,00:06:23,6.38,117,137,0.4,0,0,,,,,0,,0,0,42,7,06:22.76.9,1,03:05.8,06:22.8,,
Running,2022,May,26/05/2022,19:34,Thursday,2.5,158,00:13:21,13.35,131,144,2.8,159,179,05:21,04:27,34,20,1.18,,0,0,0,,02:51.94.7,3,00:13:19,00:13:21,355,382
Strength Training,2022,May,21/05/2022,21:07,Saturday,0,51,00:14:10,14.17,95,127,0.3,0,0,,,,,0,,0,0,80,12,14:09.55.2,1,06:51.5,00:14:10,,
Running,2022,May,20/05/2022,07:09,Friday,5.14,314,00:21:51,21.85,170,202,4.5,163,197,04:15,02:56,90,91,1.45,,0,0,0,,00:25.63.4,6,00:21:49,00:21:51,543,602
Running,2022,May,16/05/2022,19:55,Monday,5.01,307,00:20:49,20.82,171,195,4.4,162,179,04:09,03:38,69,73,1.49,,0,0,0,,00:01.90.6,6,00:20:43,00:20:52,350,375
Strength Training,2022,May,14/05/2022,22:01,Saturday,0,78,00:25:30,25.5,87,111,0.2,0,0,,,,,0,,0,0,75,12,25:29.55.5,1,00:14:43,00:25:30,,
Running,2022,May,13/05/2022,18:24,Friday,7.01,478,00:34:23,34.38,175,198,4.7,161,175,04:54,04:27,82,88,1.27,,0,0,0,,00:02.11.1,8,00:34:22,00:34:23,341,380
Pool Swimming,2022,May,13/05/2022,13:52,Friday,0.75,144,00:14:41,14.68,121,138,1,0,0,01:58,01:25,,,0,295,39,20,0,,14:41.41.1,1,00:14:41,00:17:48,,
Running,2022,May,11/05/2022,20:07,Wednesday,3.01,184,00:12:25,12.42,165,196,3.5,162,189,04:08,03:36,50,48,1.5,,0,0,0,,00:01.12.1,4,00:12:20,00:12:25,361,379
Strength Training,2022,May,09/05/2022,20:36,Monday,0,95,00:29:59,29.98,90,127,0.3,0,0,,,,,0,,0,0,133,22,29:58.86.4,1,00:11:44,00:29:59,,
Strength Training,2022,May,07/05/2022,22:58,Saturday,0,41,00:08:54,8.9,104,116,0.2,0,0,,,,,0,,0,0,29,7,08:54.14.5,1,02:54.6,08:54.1,,
Running,2022,May,07/05/2022,22:20,Saturday,4.01,273,00:20:19,20.32,146,178,3.7,165,183,05:04,04:11,48,49,1.2,,0,0,0,,00:01.26.9,5,00:20:13,00:20:19,358,375
Strength Training,2022,May,02/05/2022,21:43,Monday,0,60,00:09:00,9,117,135,0.6,0,0,,,,,0,,0,0,47,7,08:59.51.7,1,03:00.6,08:59.5,,
Running,2022,May,02/05/2022,21:10,Monday,5.01,323,00:23:02,23.03,166,202,4.1,161,175,04:36,04:02,79,78,1.35,,0,0,0,,00:01.20.5,6,00:23:01,00:23:02,345,381
Strength Training,2022,April,27/04/2022,20:53,Wednesday,0,6,00:03:19,3.32,84,92,0,0,0,,,,,0,,0,0,32,7,03:18.71.4,1,01:48.8,03:18.7,,
Strength Training,2022,April,25/04/2022,19:52,Monday,0,77,00:10:27,10.45,123,136,0.9,0,0,,,,,0,,0,0,94,13,10:26.66.9,1,06:02.8,00:10:27,,
Running,2022,April,25/04/2022,19:33,Monday,3.35,204,00:14:35,14.58,146,195,3.4,165,199,04:22,03:44,49,39,1.39,,0,0,0,,01:23.76.8,4,00:14:34,00:14:35,355,377
Strength Training,2022,April,23/04/2022,21:28,Saturday,0,60,00:07:31,7.52,127,140,0.9,0,0,,,,,0,,0,0,42,8,07:31.2,1,03:48.4,07:31.2,,
Running,2022,April,23/04/2022,20:48,Saturday,5.66,376,00:28:35,28.58,161,187,3.9,162,175,05:03,03:56,69,78,1.22,,0,0,0,,03:03.29.4,6,00:28:32,00:28:35,349,376
Running,2022,April,21/04/2022,11:54,Thursday,5,366,00:30:09,30.15,159,181,3.5,156,168,06:02,04:59,31,26,1.06,,0,0,0,,00:01.38.1,6,00:29:15,00:30:09,-4,12
Strength Training,2022,April,18/04/2022,20:24,Monday,0,118,00:18:22,18.37,116,151,1.4,0,0,,,,,0,,0,0,101,11,18:22.03.5,1,00:11:15,00:21:41,,
Running,2022,April,18/04/2022,20:19,Monday,0.16,9,00:01:44,1.73,109,120,0.1,108,180,10:51,04:53,13,,0.85,,0,0,0,,00:09.09.2,3,01:34.2,01:44.3,367,383
